"DiariodeCA","Tue Jun 30 00:23:20 +0000 2015","RT @MaxSPerez_GT: Descanso en el #EstadioNacional de Santiago.
#Chile 1-0 #Peru
#CopaAmerica #Chile2015"
"sheylamayling","Tue Jun 30 00:23:20 +0000 2015","RT @liderendeportes: #CopaAmerica | #Chile 1-0 #Peru | Final 1T | Gol: Vargas | http://t.co/HzsMyTRkaI"
"OaxacaRubrica","Tue Jun 30 00:23:21 +0000 2015","RT @el_pais: ¡Gol de Vargas!  #Chile 1 - #Peru 0 #CopaAmerica. Sigue el partido minuto a minuto -&gt; http://t.co/c85SFg5pok http://t.co/5d9…"
"maricris2013","Tue Jun 30 00:23:22 +0000 2015","RT @diepanda13: #CopaAmerica- 
En el Gol de #Chile Vargas tiene medio cuerpo adelantado. Aca la imagen CUENTENLA COMO QUIERAN http://t.co/…"
"deportesvivo24","Tue Jun 30 00:23:22 +0000 2015","Entretiempo
#CopaAmerica
#Chile 1-0 #Peru (Vargas)
Los de Gareca juegan con 10 desde los 20 debido a la expulsion de Zambrano
#Chile3015"
"Edgar357","Tue Jun 30 00:23:23 +0000 2015","RT @CA2015: En esta #CopaAmerica tres de las siete tarjetas rojas han sido a rivales de #Chile. Via @OptaJavier 
http://t.co/odwZKGSCfk"
"josemar06897047","Tue Jun 30 00:23:23 +0000 2015","RT @liderendeportes: #CopaAmerica | #Chile 1-0 #Peru | #Videos: Lo mejor del primer tiempo | http://t.co/HzsMyU8V2g http://t.co/VcWNcAjEYH"
"ClaudioRoman","Tue Jun 30 00:23:24 +0000 2015","Gooool contra Iggy Pop... #CopaAmerica #chile2015 #ricardocareca http://t.co/lTFxhRvh4i"
"Pablote_rv","Tue Jun 30 00:23:24 +0000 2015","Vamos!!!! Que el poh #CHI le gane al peh #PER #CopaAmerica"
"karenymey","Tue Jun 30 00:23:25 +0000 2015","RT @CA2015: En esta #CopaAmerica tres de las siete tarjetas rojas han sido a rivales de #Chile. Via @OptaJavier 
http://t.co/odwZKGSCfk"
"sellatuparley","Tue Jun 30 00:23:25 +0000 2015","GANA 20.000bs con #SellaTuParley en INSTAGRAM siguenos #PaoloGuerrero #vargas #CopaAmerica #Chi #Per #zambrano http://t.co/XjhKjqNxdo"
"Team_Venezuela","Tue Jun 30 00:23:26 +0000 2015","RT @liderendeportes: #CopaAmerica | #Chile 1-0 #Peru | #Video: Asi fue el gol de Chile | http://t.co/HzsMyTRkaI http://t.co/GXkpR0N9Tl"
"Fabian1412","Tue Jun 30 00:23:26 +0000 2015","RT @diepanda13: #CopaAmerica- 
En el Gol de #Chile Vargas tiene medio cuerpo adelantado. Aca la imagen CUENTENLA COMO QUIERAN http://t.co/…"
"brutalbass666","Tue Jun 30 00:23:26 +0000 2015","RT @licrondamon: Gol de #CHI

#CHI 1 - 0 #PER
#CopaAmerica #CopaAmericaChile2015 http://t.co/z6T3iP6lan"
"Agencia_Andina","Tue Jun 30 00:23:27 +0000 2015","En la #CopaAmerica tres de las siete tarjetas rojas han sido a rivales de #Chile segun @CA2015"
"futbolgramtr","Tue Jun 30 00:23:27 +0000 2015","GOOOL | 42 Eduardo Vargas #Chile 1:0 #Peru 🏆 #copaamerica #copaamerica2015 #chile2015 http://t.co/2MPO8A9cRT"
"GiacumboFranco","Tue Jun 30 00:23:28 +0000 2015","RT @CA2015: En esta #CopaAmerica tres de las siete tarjetas rojas han sido a rivales de #Chile. Via @OptaJavier 
http://t.co/odwZKGSCfk"
"SicMarilyn","Tue Jun 30 00:23:29 +0000 2015","RT @TDW_Radio: #CopaAmerica

¡Acaba el PT!

Vargas lleva momentaneamente a #CHI a la final.

#CHI 1-0 #PER

EN VIVO POR #TDW http://t.co/YU…"
"riosidjabat","Tue Jun 30 00:23:29 +0000 2015","RT @indocannon: Kreasi Alexis Sanchez membuahkan gol bagi #CHI. 1-0 bagi tuan rumah di semifinal #CopaAmerica #Chile2015 https://t.co/9W3bY…"
"daira141299","Tue Jun 30 00:23:30 +0000 2015","RT @mundo_D: Final del PT. #Chile le gana 1-0 a #Peru que juega con 10 #CopaAmerica http://t.co/KrkShLr37u http://t.co/pFvNxG3tcO"
"LILIGOMAS","Tue Jun 30 00:23:30 +0000 2015","RT @CA2015: En esta #CopaAmerica tres de las siete tarjetas rojas han sido a rivales de #Chile. Via @OptaJavier 
http://t.co/odwZKGSCfk"
"Tipita_","Tue Jun 30 00:23:32 +0000 2015","Si #ARG llega a la final con #chi salimos segundos minimo un expulsado nuestro y con cuatro amarillas. Agendalo. #CopaAmerica"
"0rnelafunk","Tue Jun 30 00:23:34 +0000 2015","RT @terrape: Asi fue el gol de Chile: https://t.co/ELgi1xodDz
#CHI 1 - 0 #PER #CopaAmerica #TerraEnLaCopa
==&gt; http://t.co/XU6sGDWmjn"
"___pelao___","Tue Jun 30 00:23:34 +0000 2015","@___pelao___: Les recordamos a todos los participantes de la  #CopaAmerica todos los partidos del mundo se ganan con GOLES #chile2015"
"taraAFCx","Tue Jun 30 00:23:34 +0000 2015","RT @SanketGooner: Alexis Sanchez at the heart of every good move for Chile in the first half... #ChilevsPeru #CopaAmerica"
"prince_florian","Tue Jun 30 00:28:27 +0000 2015","RT @CA2015: En esta #CopaAmerica tres de las siete tarjetas rojas han sido a rivales de #Chile. Via @OptaJavier 
http://t.co/odwZKGSCfk"
"MatuteMondaca","Tue Jun 30 00:28:27 +0000 2015","RT @Angioplastico: Sampaoli tiene un problema con Albornoz y Rojas...ninguno esta con nivel de seleccion.
#ChilevsPeru #CopaAmerica #VamosC…"
"UnsuspectinHero","Tue Jun 30 00:28:28 +0000 2015","Anyone else think this game is fixed? Chile field Bolivian ref? #CopaAmerica #Per"
"FiorellaMaravi","Tue Jun 30 00:28:28 +0000 2015","#ChilePeru #CopaAmerica siento verguenza ajena por ese arbitro!!! RIDICULO!"
"izil12","Tue Jun 30 00:28:29 +0000 2015","#chilevsperu live STREAM HD
PC http://t.co/e0Tfq6b9lw 
Mobile http://t.co/iUkBtjEdov
#Chile2015 #CopaAmerica 
#Chile #Peru 
E"
"JoacoPeyrot","Tue Jun 30 00:28:29 +0000 2015","Dale campeon! Dale campeon! Dale campeon!
Esta no es culpa del finado Grondona... #CopaAmerica #ChileCampeon2015
Gracias Conmebol por tanto!"
"LAVOZcomar","Tue Jun 30 00:28:30 +0000 2015","RT @mundo_D: Final del PT. #Chile le gana 1-0 a #Peru que juega con 10 #CopaAmerica http://t.co/KrkShLr37u http://t.co/pFvNxG3tcO"
"OputaKarixma","Tue Jun 30 00:28:30 +0000 2015","Its funny and kinda astounishing that the 4remaining coaches at the #CopaAmerica #Chile2015 are all from one countryArgentina."
